
  logs\peticionamento.txt:706:2025-05-15 07:06:25,847 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(8, 54)]
> logs\peticionamento.txt:707:2025-05-15 07:06:25,849 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'temas_com_reflexo_atualizada_ferias_anuais'
  logs\peticionamento.txt:708:2025-05-15 07:06:25,849 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:709:2025-05-15 07:06:25,850 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 1 runs
  logs\peticionamento.txt:737:2025-05-15 07:06:25,859 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:738:2025-05-15 07:06:25,860 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(100, 162)]
> logs\peticionamento.txt:739:2025-05-15 07:06:25,862 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'descricao_atualizada_atividades_contratadas_acumulo_funcao'
  logs\peticionamento.txt:740:2025-05-15 07:06:25,862 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:741:2025-05-15 07:06:25,862 | DEBUG    | peticionamento | logger         .debug                | L141  | Placeholder fragmentado encontrado: '{{descricao_atualizada_atividades_extras_acumulo_funcao}}' (campo: 'descricao_atualizada_atividades_extras_acumulo_funcao')
  logs\peticionamento.txt:748:2025-05-15 07:06:25,864 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [2]
  logs\peticionamento.txt:749:2025-05-15 07:06:25,864 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(91, 148)]
> logs\peticionamento.txt:750:2025-05-15 07:06:25,866 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'descricao_atualizada_atividades_extras_acumulo_funcao'
  logs\peticionamento.txt:751:2025-05-15 07:06:25,866 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:752:2025-05-15 07:06:25,866 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 1 runs
  logs\peticionamento.txt:799:2025-05-15 07:06:25,881 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:800:2025-05-15 07:06:25,881 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(203, 250)]
> logs\peticionamento.txt:801:2025-05-15 07:06:25,883 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'temas_com_reflexo_atualizada_acumulo_funcao'
  logs\peticionamento.txt:802:2025-05-15 07:06:25,883 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:803:2025-05-15 07:06:25,883 | DEBUG    | peticionamento | logger         .debug                | L141  | Placeholder fragmentado encontrado: '{{texto_personalizado_fgts_acumulo_funcao}}' (campo: 'texto_personalizado_fgts_acumulo_funcao')
  logs\peticionamento.txt:912:2025-05-15 07:06:25,906 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [1]
  logs\peticionamento.txt:913:2025-05-15 07:06:25,906 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(15, 72)]
> logs\peticionamento.txt:914:2025-05-15 07:06:25,907 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'descricao_atualizada_condicao_insalubre_insalubridade'
  logs\peticionamento.txt:915:2025-05-15 07:06:25,908 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:916:2025-05-15 07:06:25,908 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 1 runs
  logs\peticionamento.txt:1024:2025-05-15 07:06:25,934 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [1]
  logs\peticionamento.txt:1025:2025-05-15 07:06:25,934 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(1, 28)]
> logs\peticionamento.txt:1026:2025-05-15 07:06:25,935 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'data_aviso_base_calculo'
  logs\peticionamento.txt:1027:2025-05-15 07:06:25,935 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:1028:2025-05-15 07:06:25,935 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 2 runs
  logs\peticionamento.txt:1079:2025-05-15 07:06:25,949 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:1080:2025-05-15 07:06:25,949 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(107, 134)]
> logs\peticionamento.txt:1081:2025-05-15 07:06:25,951 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'data_aviso_base_calculo'
  logs\peticionamento.txt:1082:2025-05-15 07:06:25,951 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:1083:2025-05-15 07:06:25,951 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 3 runs
  logs\peticionamento.txt:1285:2025-05-15 07:06:25,996 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:1286:2025-05-15 07:06:25,996 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(36, 63)]
> logs\peticionamento.txt:1287:2025-05-15 07:06:25,998 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'data_aviso_base_calculo'
  logs\peticionamento.txt:1288:2025-05-15 07:06:25,998 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:1289:2025-05-15 07:06:25,998 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 1 runs
  logs\peticionamento.txt:1344:2025-05-15 07:06:26,010 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [2]
  logs\peticionamento.txt:1345:2025-05-15 07:06:26,010 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(0, 27)]
